ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
0,M.K. Mohan,ANNA NAGAR,DMK,4,211 Crore+,2 Crore+,TAMIL NADU,8th Pass
1,Khatik Ramesh Prasad,KARERA (SC),BJP,0,1 Crore+,0,MADHYA PRADESH,12th Pass
2,Dr. Mantar Gowda,MADIKERI,INC,0,7 Crore+,22 Lac+,KARNATAKA,Post Graduate
3,Kundan Kumar,BEGUSARAI,BJP,0,9 Crore+,24 Lac+,BIHAR,Post Graduate
4,Swapan Majumder,BANGAON DAKSHIN (SC),BJP,2,2 Crore+,61 Lac+,WEST BENGAL,8th Pass
5,Arup Roy,HOWRAH MADHYA,AITC,0,3 Crore+,29 Lac+,WEST BENGAL,Graduate Professional
6,Baby Rani Maurya,AGRA RURAL (SC),BJP,0,2 Crore+,0,UTTAR PRADESH,Post Graduate
7,Neena Mittal,RAJPURA,AAP,1,9 Crore+,2 Crore+,PUNJAB,Graduate
8,Fareed Mahfooz Kidwai,RAM NAGAR,SP,1,5 Crore+,35 Lac+,UTTAR PRADESH,Post Graduate
9,Atul Moreshwar Save,AURANGBAD (EAST),BJP,6,22 Crore+,2 Crore+,MAHARASHTRA,Graduate
10,Anandamay Barman,MATIGARA-NAXALBARI (SC),BJP,1,0,10 Lac+,WEST BENGAL,Post Graduate
11,Sanatan Bijuli,BADASAHI,BJP,2,1 Crore+,0,ODISHA,Graduate
12,Inder Dutt Lakhanpal,BARSAR,INC,1,7 Crore+,2 Crore+,HIMACHAL PRADESH,Graduate
13,Subhash Ramchandrarao Dhote,RAJURA,INC,3,3 Crore+,1 Lac+,MAHARASHTRA,Graduate
14,Ravendra Pal Singh,CHHARRA,BJP,0,8 Crore+,0,UTTAR PRADESH,10th Pass
15,Jogaranjan Halder,KULPI,AITC,0,1 Crore+,1 Lac+,WEST BENGAL,Graduate Professional
16,Prestone Tynsong,PYNURSLA (ST),NPP,0,12 Crore+,0,MEGHALAYA,Graduate
17,Naveen Patnaik,HINJILI,BJD,0,63 Crore+,15 Lac+,ODISHA,Graduate
18,Kovoor Kunjumon,KUNNATHUR,IND,1,11 Lac+,0,KERALA,10th Pass
19,Dulal Murmu,NAYAGRAM (ST),AITC,0,1 Crore+,0,WEST BENGAL,Post Graduate
20,Saroj Kumar Meher,PATNAGARH,BJD,0,31 Crore+,10 Lac+,ODISHA,12th Pass
21,Rajan Prabhakar Salvi,RAJAPUR,SHS,1,0,73 Lac+,MAHARASHTRA,Graduate
22,Bishnu Charan Sethi,DHAMNAGAR,BJP,4,60 Lac+,5 Lac+,ODISHA,Post Graduate
23,Chakramani Kanhar,BALIGUDA,BJD,1,0,6 Lac+,ODISHA,12th Pass
24,Bharat Bhushan Batra,ROHTAK,INC,0,11 Crore+,1 Crore+,HARYANA,Graduate Professional
25,Chowdhury Siddiqullah,MONTESWAR,AITC,0,1 Crore+,4 Lac+,WEST BENGAL,Post Graduate
26,Sanjay Kumar Gupta,BELSAND,RJD,5,5 Crore+,42 Lac+,BIHAR,12th Pass
27,V.Muthuraja,PUDUKKOTTAI,DMK,0,9 Crore+,4 Crore+,TAMIL NADU,Graduate Professional
28,Pranab Kumar Balabantaray,DHARMASALA,BJD,0,17 Crore+,1 Crore+,ODISHA,Graduate
29,Ganga Sajjan Singh Uikey,GHORADONGRI (ST),BJP,0,3 Crore+,4 Lac+,MADHYA PRADESH,Graduate
30,Anil Kumar Bajpai,GANDHI NAGAR,BJP,1,18 Lac+,3 Lac+,DELHI,Graduate
31,Anantha Venkatarami Reddy,ANANTAPUR URBAN,YSRCP,0,8 Crore+,18 Lac+,ANDHRA PRADESH,Post Graduate
32,Hemant Vijay Khandelwal,BETUL,BJP,0,41 Crore+,17 Crore+,MADHYA PRADESH,Graduate Professional
33,Thounaojam Basanta Kumar Singh,NAMBOL,BJP,0,4 Crore+,39 Lac+,MANIPUR,Post Graduate
34,Jai Ram Thakur,SERAJ,BJP,0,6 Crore+,26 Lac+,HIMACHAL PRADESH,Graduate
35,Ramkesh Nishad,TINDWARI,BJP,1,95 Lac+,0,UTTAR PRADESH,Graduate Professional
36,Palaniswami K,EDAPPADI,AIADMK,0,6 Crore+,29 Lac+,TAMIL NADU,Graduate
37,Kanwarlal,ANTA,BJP,5,6 Crore+,4 Crore+,RAJASTHAN,Others
38,V.D. Satheesan,PARAVUR,INC,7,6 Crore+,0,KERALA,Graduate Professional
39,Adv. Yashomati Chandrakant Thakur,TEOSA,INC,10,9 Crore+,8 Lac+,MAHARASHTRA,Graduate Professional
40,Yogesh Dhama,BAGHPAT,BJP,3,21 Crore+,2 Crore+,UTTAR PRADESH,Graduate
41,Mane Srinivas,HANGAL,INC,0,10 Crore+,3 Crore+,KARNATAKA,Graduate
42,Sakkarapani R,ODDANCHATRAM,DMK,6,9 Crore+,7 Crore+,TAMIL NADU,Graduate
43,Dinakar Keshav Shetty,KUMTA,BJP,0,4 Crore+,9 Lac+,KARNATAKA,12th Pass
44,Brij Bhushan Rajput,CHARKHARI,BJP,5,19 Crore+,9 Lac+,UTTAR PRADESH,Graduate
45,Nandita Gorlosa,HAFLONG (ST),BJP,0,5 Lac+,0,ASSAM,Post Graduate
46,Tapas Roy,BARANAGAR,AITC,0,3 Crore+,28 Lac+,WEST BENGAL,Graduate Professional
47,Chowna Mein,CHOWKHAM,BJP,0,64 Crore+,8 Lac+,ARUNACHAL PRADESH,Graduate
48,Umashankar Akela,BARHI,INC,5,50 Lac+,0,JHARKHAND,Graduate
49,Alpesh Khodaji Thakor,GANDHINAGAR SOUTH,BJP,6,3 Crore+,14 Lac+,GUJARAT,12th Pass
50,Ramu Das,PRATAPGARH (SC),CPI(M),0,8 Lac+,0,TRIPURA,Post Graduate
51,Heikham Dingo Singh,SEKMAI (SC),BJP,0,1 Crore+,37 Lac+,MANIPUR,Graduate
52,Kishore Chandra Naik,KUCHINDA,BJD,4,57 Lac+,10 Lac+,ODISHA,Post Graduate
53,Akhilesh,MUBARAKPUR,SP,3,16 Lac+,0,UTTAR PRADESH,12th Pass
54,Bhairon Singh (Bapu),SUSNER,INC,2,5 Crore+,47 Lac+,MADHYA PRADESH,10th Pass
55,Jai Parkash Dalal,LOHARU,BJP,0,0,6 Crore+,HARYANA,Graduate
56,Buggana Rajendranath,DHONE,YSRCP,2,7 Crore+,23 Lac+,ANDHRA PRADESH,Graduate Professional
57,Mukesh Kumar Yadav,BAJPATTI,RJD,2,2 Crore+,1 Lac+,BIHAR,Graduate
58,Vinod Narayan Jha,BENIPATTI,BJP,1,2 Crore+,3 Lac+,BIHAR,Graduate
59,Alaka Mohanty,BRAJARAJNAGAR : BYE ELECTION ON 31-05-2022,BJD,0,10 Crore+,90 Lac+,ODISHA,Graduate
60,Promod Borthakur,BISWANATH,BJP,0,90 Lac+,7 Lac+,ASSAM,Post Graduate
61,Janak Ram Dhruw,BINDRANAWAGARH (ST),INC,0,1 Crore+,7 Lac+,CHHATTISGARH,Post Graduate
62,Abhijit Sinha (Rana),LABPUR,AITC,0,1 Crore+,0,WEST BENGAL,Post Graduate
63,Shaila Rani Rawat,KEDARNATH,BJP,0,3 Crore+,0,UTTARAKHAND,Post Graduate
64,Hardev Singh Laddi,SHAHKOT,INC,0,17 Crore+,3 Crore+,PUNJAB,10th Pass
65,Bhagirathi Sethy,ANANDAPUR,BJD,5,37 Lac+,0,ODISHA,10th Pass
66,Varun Chaudhary,MULLANA (SC),INC,0,6 Crore+,53 Lac+,HARYANA,Graduate Professional
67,Riti Pathak,SIDHI,BJP,1,8 Crore+,1 Crore+,MADHYA PRADESH,Post Graduate
